TuS Dielingen;0;0;0;0;;
TTG Windheim-Neuenknick;1;7;0;0;;
TG Werste;0;0;0;0;;
TuS Porta Westfalica;0;0;0;0;;
Sportverein Leteln-Weser;0;0;0;0;;
SV Kutenhausen-Todtenhausen;0;0;0;0;;
SC Blau-Weiss Vehlage;2;8;9;4;;
TuS Porta Barkhausen;0;0;0;0;;
TTC Petershagen/Friedewalde e.V.;8;2;10;5;;
TV Jahn 1892 Neesen;2;8;0;0;;
TuS Holzhausen/Porta;11;5;0;0;;
TV Hille;4;10;0;0;;
TTC Rahden;0;0;0;0;;
ATSV Espelkamp;3;9;1;6;;
TTV Luebbecke;5;11;0;0;;
TuS Wehe;6;12;0;0;;
Sport Club Blasheim;6;12;0;0;;
VfL Frotheim;3;9;0;0;;
SC Hollwede;12;6;0;0;;
Holsener SV von 1964 e.V.;8;2;0;0;;
SuS Holzhausen;0;0;0;0;;
Spielvereinigung Union Varl;9;3;0;0;;
TuS Nettelstedt;0;0;0;0;;
SV Boerninghausen;1;7;0;0;;
SV Huellhorst-Oberbauerschaft;0;0;0;0;;
HSC Alswede von 1946 e.V.;9;3;0;0;;
TTV Salzkotten;2;8;0;0;;
SC Wewer 2000;11;5;0;0;;
TTV Hoevelhof;2;8;0;0;;
ESV TuS Altenbeken;12;6;0;0;;
SC GW Paderborn;3;9;7;2;;
FC Stukenbrock;1;7;0;0;;
SC Victoria Neuenbeken;0;0;0;0;;
SC Borchen;0;0;0;0;;
TTC Paderborn e.V.;10;4;0;0;;
TTC Bad Lippspringe;0;0;0;0;;
TuS Bad Wuennenberg;8;2;0;0;;
TuRa Elsen;11;5;0;0;;
SC BW Ostenland;2;8;0;0;;
SV BW Sande;9;3;0;0;;
TV Geseke;11;5;0;0;;
SV Rot-Weiss Bentfeld;12;6;0;0;;
TuS Wewelsburg;0;0;0;0;;
SV Heide Paderborn;3;9;0;0;;
SV BW Etteln;5;11;0;0;;
VfL Thuele;10;4;0;0;;
TTC Kolping Boke;0;0;0;0;;
DJK Graf Spork Delbrueck;6;12;10;5;;
SV Blau-Weiss Benhausen;11;5;0;0;;
SV Rot-Weiss Alfen;0;0;0;0;;
VfL Lichtenau;0;0;0;0;;
TSV Schloss Neuhaus;7;1;0;0;;
BV 23 Alme e.V.;0;0;0;0;;
TTC Simonswerk Rheda;0;0;0;0;;
TTSG Rietberg-Neuenkirchen e.V.;2;8;0;0;;
TSG Rheda;0;0;0;0;;
SW Marienfeld;0;0;0;0;;
Post SV Guetersloh;10;4;1;6;;
SC Wiedenbrueck e.V.;6;12;0;0;;
SV Spexard;11;5;1;6;;
TSV Victoria Clarholz;8;2;3;8;;
TV Einigkeit Langenberg;2;8;8;3;;
DJK Blau-Weiss Avenwedde;10;4;1;6;;
Guetersloher Turnverein von 1879 e.V.;10;4;0;0;;
TTSV Schloss Holte-Sende;7;1;4;9;;
TTC Oelde;11;5;0;0;;
TSG Harsewinkel;4;10;0;0;;
DJK Guetersloh;0;0;0;0;;
SC Germania Stromberg;5;11;0;0;;
TV 1912 Verl e.V.;12;6;0;0;;
SV Herzebrock;12;6;3;8;;
SV Rot-Weiss Mastholte;3;9;0;0;;
TV Isselhorst;0;0;0;0;;
SC GW Varensell;0;0;0;0;;
